"kind","n","bins_count","time_alg1_s","time_alg2_s","time_alg4_s","q_base_groups","q_star_groups","utility_babble","utility_base","utility_star","kept_babble","kept_base","kept_star","bias_kind","bias_direction","low","high","jitter","seed","elapsed_s"
"babble",12157,1,0.0,0.0,0.0,1,1,60922.72684652069,60922.72684652069,60922.72684652069,153817,153817,153817,"random_multilevel","down",0.15,0.85,0.0,123,0.0
"binned",12157,2,0.0015445409808307886,0.0023850409779697657,0.014053791994228959,1,1,60922.72684652069,60922.72684652069,60922.72684652069,153817,153817,153817,"random_multilevel","down",0.15,0.85,0.0,123,0.039664207957684994
"binned",12157,3,0.0019351660157553852,0.0031715829973109066,0.014817999966908246,1,1,60922.72684652069,60922.72684652069,60922.72684652069,153817,153817,153817,"random_multilevel","down",0.15,0.85,0.0,123,0.08892954100156203
"binned",12157,5,0.0025093749864026904,0.005289457971230149,0.014923541981261224,1,1,60922.72684652069,60922.72684652069,60922.72684652069,153817,153817,153817,"random_multilevel","down",0.15,0.85,0.0,123,0.13591466599609703
"binned",12157,8,0.002636792021803558,0.01217595802154392,0.02123312500771135,2,2,60922.72684652069,78388.35301858839,78388.35301858839,153817,173151,173151,"random_multilevel","down",0.15,0.85,0.0,123,0.19309958297526464
"binned",12157,12,0.002703582984395325,0.01784729101927951,0.037941333022899926,3,3,60922.72684652069,95700.53084388823,95700.53084388823,153817,193356,193356,"random_multilevel","down",0.15,0.85,0.0,123,0.27244274999247864
"binned",12157,18,0.003043250006157905,0.027574917010497302,0.04308833304094151,4,4,60922.72684652069,95700.53084388823,95700.53084388823,153817,193356,193356,"random_multilevel","down",0.15,0.85,0.0,123,0.3668837079894729
"binned",12157,27,0.0029882919625379145,0.03965512500144541,0.07442191598238423,6,6,60922.72684652069,100638.9782036514,100638.9782036514,153817,199336,199336,"random_multilevel","down",0.15,0.85,0.0,123,0.5114054579753429
"binned",12157,41,0.002916625002399087,0.05899450002470985,0.14059816702501848,9,9,60922.72684652069,101824.95533804849,101824.95533804849,153817,200797,200797,"random_multilevel","down",0.15,0.85,0.0,123,0.7342990000033751
"binned",12157,62,0.003099208988714963,0.08986229199217632,0.27733091701520607,13,13,60922.72684652069,101655.6765915441,101655.6765915441,153817,200587,200587,"random_multilevel","down",0.15,0.85,0.0,123,1.1333687079604715
"binned",12157,93,0.003229917027056217,0.13706116599496454,0.5519849169650115,19,19,60922.72684652069,101655.6765915441,101655.6765915441,153817,200587,200587,"random_multilevel","down",0.15,0.85,0.0,123,1.853918207983952
"binned",12157,140,0.003122333961073309,0.20414841698948294,1.1205020420020446,28,28,60922.72684652069,101560.45500904699,101560.45500904699,153817,200469,200469,"random_multilevel","down",0.15,0.85,0.0,123,3.2022758329985663
"binned",12157,210,0.0032403329969383776,0.30584445799468085,2.3425285830162466,42,42,60922.72684652069,101824.95533804849,101824.95533804849,153817,200797,200797,"random_multilevel","down",0.15,0.85,0.0,123,5.873988874955103
"binned",12157,315,0.0033747919951565564,0.4664525829721242,5.091631582996342,63,63,60922.72684652069,101947.96241158033,101947.96241158033,153817,200950,200950,"random_multilevel","down",0.15,0.85,0.0,123,11.455474415968638
"binned",12157,473,0.003592083987314254,0.7178122499608435,11.373401208024006,95,95,60922.72684652069,102242.51028129578,102242.51028129578,153817,201317,201317,"random_multilevel","down",0.15,0.85,0.0,123,23.570799582987092
"binned",12157,710,0.003977916028816253,1.1190665420144796,25.240513459022623,142,142,60922.72684652069,102241.70891593963,102241.70891593963,153817,201316,201316,"random_multilevel","down",0.15,0.85,0.0,123,49.965156040969305
"binned",12157,1065,0.004490583029109985,1.7607997910236008,60.62247929198202,213,213,60922.72684652069,102498.84232603997,102498.84232603997,153817,201637,201637,"random_multilevel","down",0.15,0.85,0.0,123,112.37422458297806
"binned",12157,1598,0.0054916670196689665,2.8354091250221245,127.28238995798165,320,320,60922.72684652069,102502.84561605478,102502.84561605478,153817,201642,201642,"random_multilevel","down",0.15,0.85,0.0,123,242.51918391598156
