"run","kind","n","bins_count","time_alg1_s","time_alg2_s","time_alg4_s","q_base_groups","q_star_groups","utility_babble","utility_base","utility_star","kept_babble","kept_base","kept_star","bias_kind","bias_direction","low","high","jitter","seed","elapsed_s"
1,"babble",29961,1,0.0,0.0,0.0,1,1,13475.943194713294,13475.943194713294,13475.943194713294,114397,114397,114397,"random_multilevel","down",0.15,0.85,0.0,124,0.047884957981295884
1,"binned",29961,2,0.005498584010638297,0.007974500011187047,0.044700208003632724,1,1,13475.943194713294,13475.943194713294,13475.943194713294,114397,114397,114397,"random_multilevel","down",0.15,0.85,0.0,124,0.1811099160113372
1,"binned",29961,3,0.007734458951745182,0.011897374992258847,0.07100345805520192,2,2,13475.943194713294,25483.78536145799,25483.78536145799,114397,44214,44214,"random_multilevel","down",0.15,0.85,0.0,124,0.348368916020263
1,"binned",29961,5,0.008927584043703973,0.014502583013381809,0.10950575000606477,3,3,13475.943194713294,26098.85878779807,26098.85878779807,114397,41835,41835,"random_multilevel","down",0.15,0.85,0.0,124,0.5567707499722019
1,"binned",29961,8,0.009691749990452081,0.018678874999750406,0.15306170796975493,4,4,13475.943194713294,27208.761030639005,27208.761030639005,114397,45797,45797,"random_multilevel","down",0.15,0.85,0.0,124,0.8139574159868062
1,"binned",29961,12,0.010461583035066724,0.021263457951135933,0.27639866701792926,6,6,13475.943194713294,26932.12385688552,26932.12385688552,114397,43063,43063,"random_multilevel","down",0.15,0.85,0.0,124,1.1965619580005296
1,"binned",29961,18,0.010781417018733919,0.0258509999839589,0.5562322090263478,9,8,13475.943194713294,25752.199886523005,27129.383919631746,114397,39224,45117,"random_multilevel","down",0.15,0.85,0.0,124,1.865589207969606
1,"binned",29961,27,0.011062459030654281,0.05374608398415148,1.226734917028807,14,11,13475.943194713294,24908.025432214232,26959.167345304253,114397,37595,45551,"random_multilevel","down",0.15,0.85,0.0,124,3.2324710409739055
1,"binned",29961,41,0.010811250016558915,0.07489487499697134,2.7011558749945834,21,17,13475.943194713294,23878.500901141535,27150.597556905614,114397,35593,45119,"random_multilevel","down",0.15,0.85,0.0,124,6.130683082970791
1,"binned",29961,62,0.010952082986477762,0.10246354201808572,6.104855499987025,32,25,13475.943194713294,23994.17799212346,27185.001435151396,114397,35402,45308,"random_multilevel","down",0.15,0.85,0.0,124,12.426028457994107
1,"binned",29961,93,0.011318208009470254,0.1504871670040302,12.378876834001858,47,36,13475.943194713294,24811.610773646727,27215.114645217473,114397,37213,45758,"random_multilevel","down",0.15,0.85,0.0,124,25.043245916021988
1,"binned",29961,140,0.011481042020022869,0.21832933399127796,27.374266833008733,70,55,13475.943194713294,24815.151224884965,27155.676289967487,114397,37252,45291,"random_multilevel","down",0.15,0.85,0.0,124,52.716668958019
1,"binned",29961,210,0.011282125022262335,0.3226697920472361,63.797751042002346,106,80,13475.943194713294,24856.22128028846,27215.05440224304,114397,37187,45759,"random_multilevel","down",0.15,0.85,0.0,124,116.91550966596697
1,"binned",29961,315,0.011131167004350573,0.4748674590373412,149.57731245900504,158,120,13475.943194713294,24007.23673319549,27234.582404379067,114397,35448,45769,"random_multilevel","down",0.15,0.85,0.0,124,267.05414541601203
1,"binned",29961,473,0.01205983298132196,0.8554802089929581,328.73278591700364,238,180,13475.943194713294,23994.40918496773,27225.107402710284,114397,35384,45736,"random_multilevel","down",0.15,0.85,0.0,124,596.7291718749912
1,"binned",29961,710,0.011519416992086917,1.0676045839791186,739.480854791007,357,269,13475.943194713294,24001.436052333054,27225.454776049854,114397,35394,45756,"random_multilevel","down",0.15,0.85,0.0,124,1337.3617757909815
2,"babble",29961,1,0.0,0.0,0.0,1,1,17918.81903744747,17918.81903744747,17918.81903744747,115271,115271,115271,"random_multilevel","down",0.15,0.85,0.0,125,1337.5246791249956
3,"babble",29961,1,0.0,0.0,0.0,1,1,18238.821807622975,18238.821807622975,18238.821807622975,161728,161728,161728,"random_multilevel","down",0.15,0.85,0.0,126,1337.5794072910212
4,"babble",29961,1,0.0,0.0,0.0,1,1,20792.295240638152,20792.295240638152,20792.295240638152,159034,159034,159034,"random_multilevel","down",0.15,0.85,0.0,127,1337.629486165999
5,"babble",29961,1,0.0,0.0,0.0,1,1,18542.7827581603,18542.7827581603,18542.7827581603,133453,133453,133453,"random_multilevel","down",0.15,0.85,0.0,128,1337.689722915995
